file,alpha,seed,energy,BB_mean_deg,BB_min_deg,BB_max_deg,BL_p50_deg,BL_mean_deg,LL_p50_deg,LL_mean_deg
MAP_N6_NB2_NL4_a1p25_s5_results_global.json,1.25,5,18.303978684094872,86.30864977046386,86.30864977046386,86.30864977046386,89.00882180439115,110.57615529599573,92.08921432765848,105.93842960010066
MAP_N6_NB2_NL4_a1p2_s1_results_global.json,1.2,1,17.294689198368758,86.92052434172072,86.92052434172072,86.92052434172072,89.20503824050334,110.91894922222352,91.61808843276498,105.78188031712943
MAP_N6_NB2_NL4_a1p2_s2_results_global.json,1.2,2,17.29474187485318,86.85830609006197,86.85830609006197,86.85830609006197,89.23420012172238,110.89394160130219,91.66985598753118,105.79542055445255
MAP_N6_NB2_NL4_a1p2_s3_results_global.json,1.2,3,17.29471228979468,87.0407063965235,87.0407063965235,87.0407063965235,89.14115731556178,110.88238815310217,91.6027610843461,105.81179017917493
MAP_N6_NB2_NL4_a1p2_s4_results_global.json,1.2,4,17.294727258189752,86.91719468094698,86.91719468094698,86.91719468094698,89.27079129994249,110.89303044188905,91.66650414759309,105.8063102060845
MAP_N6_NB2_NL4_a1p2_s5_results_global.json,1.2,5,17.29473894911365,86.83568792448762,86.83568792448762,86.83568792448762,89.09028545936101,110.87748421295043,91.69826125425188,105.81279414293465
MAP_N6_NB2_NL4_a1p35_s1_results_global.json,1.35,1,20.394769255820837,85.05788875034703,85.05788875034703,85.05788875034703,88.60839244213048,109.86925318843748,92.72549847834287,106.26377446295508
MAP_N6_NB2_NL4_a1p35_s2_results_global.json,1.35,2,20.394810952395034,85.35390941723915,85.35390941723915,85.35390941723915,88.68234369346766,109.95033670860184,92.64791750330953,106.22748481588388
MAP_N6_NB2_NL4_a1p35_s3_results_global.json,1.35,3,20.394719623869587,85.22421912858415,85.22421912858415,85.22421912858415,88.58450601719446,109.89325545123192,92.65533755842102,106.24873423737317
MAP_N6_NB2_NL4_a1p35_s4_results_global.json,1.35,4,20.394749372297337,84.9989353074519,84.9989353074519,84.9989353074519,88.70305564078016,109.90306139481373,92.52763816785541,106.26008281675202
MAP_N6_NB2_NL4_a1p35_s5_results_global.json,1.35,5,20.394773770353975,85.11145753515183,85.11145753515183,85.11145753515183,88.63274006886218,109.88859677551582,92.64735513168557,106.26468715032127
MAP_N6_NB2_NL4_a1p3_s1_results_global.json,1.3,1,19.337330576517537,85.58626643377849,85.58626643377849,85.58626643377849,88.7835836409485,110.16667377884635,92.3549695602827,106.14065307707688
MAP_N6_NB2_NL4_a1p3_s2_results_global.json,1.3,2,19.337321155683806,85.81423820400202,85.81423820400202,85.81423820400202,88.76010935456411,110.22423826497885,92.33998261041503,106.10915184671386
